Plant,Usage,For
Common greenbrier,Medicine,Stomach troubles
Common greenbrier,Medicine,Pain
Sedge,Medicine,Night terrors
Sawtooth blackberry,Food,Fruit
Sawtooth blackberry,Medicine,Stomach troubles
Bead fern,Food,Leafy greens
Bead fern,Medicine,Stomach troubles
Bead fern,Medicine,Emetic
Hoary bowlesia,Food,Seasoning
Hoary bowlesia,Food,Leafy greens
White avens,Food,Leafy greens
White avens,Medicine,Fever
White avens,Medicine,Stomach troubles
White avens,Medicine,Menstrual troubles
Christmas fern,Medicine,Rheumatism
Christmas fern,Medicine,Pneumonia
Christmas fern,Medicine,Stomach troubles
Christmas fern,Medicine,Fever
Spicebush,Medicine,Sores
Spicebush,Medicine,Hives
Spicebush,Medicine,Urinary troubles
River oats,Food,Seeds
Little brown jug,Medicine,Stomach troubles
Little brown jug,Medicine,Heart troubles
Little brown jug,Medicine,Cough
Little brown jug,Medicine,Asthma
Mountain laurel,Medicine,Rheumatism
Mountain laurel,Medicine,Muscle aches
Mountain laurel,Medicine,Pain
Smallflower pawpaw,Food,Fruit
Smallflower pawpaw,Material culture,Cordage
Smallflower pawpaw,Material culture,Bowstring
Muscadine,Material culture,Cordage
Muscadine,Food,Fruit
Muscadine,Medicine,Fever
Muscadine,Medicine,Kidney troubles
Muscadine,Medicine,Pain
Crossvine,Medicine,Rheumatism
Crossvine,Medicine,Headache
Crossvine,Food,Tea
Purple passionflower,Food,Fruit
Purple passionflower,Food,Tea
Purple passionflower,Medicine,Anxiety
Purple passionflower,Medicine,Pain
Purple passionflower,Medicine,Weight loss
Purple passionflower,Medicine,Ear infection
Purple passionflower,Medicine,Antimicrobial
Hearts-a-bustin',Medicine,Stomach troubles
Hearts-a-bustin',Medicine,Urinary troubles
Hearts-a-bustin',Medicine,Kidney troubles
Hearts-a-bustin',Medicine,Laxative
Stickweed,Medicine,Pain
Stickweed,Medicine,Muscle aches
