Environment,Transect,Plot,PlotID,Common name,Family,Scientific name,Amount,Native,Notes
Lakeside,1,A,1A,Japanese honeysuckle,Caprifoliaceae,Lonicera japonica,2,No,
Lakeside,1,A,1A,Chinese privet,Oleaceae,Ligustrum sinense,2,No,
Lakeside,1,A,1A,Greenbrier,Smilacaceae,Smilax rotundifolia,1,Yes,
Lakeside,1,A,1A,Sedge,Cyperaceae,Carex sp. ,1,Yes,
Lakeside,1,B,1B,Chinese privet,Oleaceae,Ligustrum sinense,5,No,
Lakeside,1,B,1B,Japanese honeysuckle,Caprifoliaceae,Lonicera japonica,1,No,
Lakeside,1,B,1B,Nimblewill,Poaceae,Muhlenbergia schreberi,1,Yes,
Lakeside,1,B,1B,Thorny olive,Elaeagnaceae,Elaeagnus pungens,1,No,
Lakeside,1,B,1B,Yellow passionflower,Passifloraceae,Passiflora lutea,1,Yes,
Lakeside,1,C,1C,Sawtooth blackberry,Rosaceae,Rubus argutus,1,Yes,
Lakeside,1,C,1C,Chinese privet,Oleaceae,Ligustrum sinense,8,No,
Lakeside,1,C,1C,Japanese honeysuckle,Caprifoliaceae,Lonicera japonica,1,No,
Lakeside,1,C,1C,Amur honeysuckle,Caprifoliaceae,Lonicera maackii,3,No,
Lakeside,1,C,1C,Chinese holly,Aquifoliaceae,Ilex cornuta,2,No,
Lakeside,1,C,1C,Bead fern,Onocleaceae,Onoclea sensibilis,1,Yes,
Lakeside,1,C,1C,Common ivy,Araliaceae,Hedera helix,7,No,
Lakeside,1,C,1C,Autumn clematis,Ranunculaceae,Clematis terniflora,2,No,
Lakeside,1,D,1D,Ribwort plantain,Plantaginaceae,Plantago lanceolata,1,No,
Lakeside,1,D,1D,Dove's-foot crane's-bill,Geraniaceae,Geranium molle,5,Yes,
Lakeside,1,D,1D,White clover,Fabaceae,Trifolium repens,6,No,
Lakeside,1,D,1D,Yellow jessamine,Gelsemiaceae,Gelsemium sempervirens,1,Yes,
Lakeside,1,D,1D,Common mugwort,Asteraceae,Artemisia vulgaris,2,No,
Lakeside,1,D,1D,Broad beech fern,Thelypteridaceae,Phegopteris hexagonoptera,1,Yes,
Lakeside,1,D,1D,Parrot's feather,Haloragaceae,Myriophyllum aquaticum ,1,No,
Lakeside,1,D,1D,Soft rush,Juncaceae,Juncus effusus,1,No,
Lakeside,1,D,1D,Hoary bowlesia,Apiaceae,Bowlesia incana,3,Yes,
Lakeside,1,D,1D,White avens,Rosaceae,Geum canadense,2,Yes,
Lakeside,1,D,1D,Henbit deadnettle,Lamiaceae,Lamium amplexicaule,4,No,
Forest,2,A,2A,Amur honeysuckle,Caprifoliaceae,Lonicera maackii,1,No,
Forest,2,A,2A,Christmas fern,Dryopteridaceae,Polystichum acrostichoides,3,Yes,
Forest,2,A,2A,Sawtooth blackberry,Rosaceae,Rubus argutus,1,Yes,
Forest,2,A,2A,Spicebush,Calycanthaceae,Calycanthus floridus,1,Yes,
Forest,2,A,2A,Ribwort plantain,Plantaginaceae,Plantago lanceolata,2,No,
Forest,2,A,2A,River oats,Poaceae,Chasmanthium latifolium,1,Yes,
Forest,2,A,2A,Little brown jug,Aristolochiaceae,Hexastylis arifolia,5,Yes,
Forest,2,A,2A,White avens,Rosaceae,Geum canadense,1,Yes,
Forest,2,A,2A,Gotu kola,Apiaceae,Centella asiatica,2,No,
Forest,2,A,2A,Chinese privet,Oleaceae,Ligustrum sinense,3,No,
Forest,2,B,2B,Mountain laurel,Ericaceae,Kalmia latifolia,1,Yes,
